unit_type_id,property_id,name,created_at,updated_at,deleted_at
300,PR0295,Type 1,2021-12-09 06:51,2021-12-09 06:51,
301,PR0295,Type 2,2021-12-09 06:51,2021-12-09 06:51,
302,PR0295,Type 3,2021-12-09 06:51,2021-12-09 06:51,
303,PR0244,Type 1,2021-12-09 06:51,2021-12-09 06:51,
304,PR0244,Type 2,2021-12-09 06:51,2021-12-09 06:51,
305,PR0198,Type 1,2021-12-09 06:51,2023-03-04 06:21,2023-03-04 06:21
306,PR0198,Type 2,2021-12-09 06:51,2023-03-04 06:21,2023-03-04 06:21
307,PR0198,Type 3,2021-12-09 06:51,2023-03-04 06:21,2023-03-04 06:21
308,PR0147,Type 1,2021-12-09 06:51,2021-12-09 06:51,
309,PR0147,Type 2,2021-12-09 06:51,2021-12-09 06:51,
310,PR0296,Type 1,2021-12-09 06:51,2021-12-09 06:51,
311,PR0245,Standard Twin,2021-12-09 06:51,2023-05-11 04:42,
312,PR0245,Twin,2021-12-09 06:51,2023-05-11 04:42,2023-05-11 04:42
313,PR0245,Twin Non Allocation,2021-12-09 06:51,2023-05-11 04:35,2023-05-11 04:35
314,PR0245,Standard Double,2021-12-09 06:51,2023-05-11 04:35,2023-05-11 04:35
315,PR0245,Deluxe Double,2021-12-09 06:51,2023-05-11 04:35,2023-05-11 04:35
316,PR0199,Type 1,2021-12-09 06:51,2021-12-09 06:51,
317,PR0199,Type 2,2021-12-09 06:51,2021-12-09 06:51,
318,PR0199,Type 3,2021-12-09 06:51,2021-12-09 06:51,
319,PR0199,Type 4,2021-12-09 06:51,2021-12-09 06:51,
320,PR0148,Type 1,2021-12-09 06:51,2021-12-09 06:51,
321,PR0148,Type 2,2021-12-09 06:51,2021-12-09 06:51,
322,PR0148,Type 3,2021-12-09 06:51,2021-12-09 06:51,
323,PR0148,Type 4,2021-12-09 06:51,2021-12-09 06:51,
324,PR0297,Type 1,2021-12-09 06:51,2021-12-09 06:51,
325,PR0297,Type 2,2021-12-09 06:51,2021-12-09 06:51,
326,PR0297,Type 3,2021-12-09 06:52,2021-12-09 06:52,
327,PR0297,Type 4,2021-12-09 06:52,2021-12-09 06:52,
328,PR0389,Type 1,2021-12-09 06:52,2021-12-09 06:52,
329,PR0389,Type 2,2021-12-09 06:52,2021-12-09 06:52,
330,PR0389,Type 3,2021-12-09 06:52,2021-12-09 06:52,
331,PR0389,Type 4,2021-12-09 06:52,2021-12-09 06:52,
332,PR0389,Type 5,2021-12-09 06:52,2021-12-09 06:52,
333,PR0200,Type 1,2021-12-09 06:52,2021-12-09 06:52,
334,PR0200,Type 2,2021-12-09 06:52,2021-12-09 06:52,
335,PR0200,Type 3,2021-12-09 06:52,2021-12-09 06:52,
336,PR0149,Type 1,2021-12-09 06:52,2021-12-09 06:52,
337,PR0149,Type 2,2021-12-09 06:52,2021-12-09 06:52,
338,PR0298,Type 1,2021-12-09 06:52,2021-12-09 06:52,
339,PR0298,Type 2,2021-12-09 06:52,2021-12-09 06:52,
340,PR0298,Type 3,2021-12-09 06:52,2021-12-09 06:52,
341,PR0298,Type 4,2021-12-09 06:52,2021-12-09 06:52,
342,PR0247,Type 1,2021-12-09 06:52,2021-12-09 06:52,
